RFS,ID    ,Num,Word,Bit,Object Type,Name,Interlocking ID,Location,TDS AREA (A/B/C),JZA Input Bit Name,Simulation Bit Name,Field I/O Name,Remarks,Index No,,
ARM   ,T230D0,T230,1,6,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD230.TPK,D230.TPK,,,59
ARM   ,T230F0,T230,2,10,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF230.TPK,F230.TPK,,,71
ARM   ,T231D0,T231,3,13,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD231.TPK,D231.TPK,,,84
ARM   ,T231F0,T231,3,12,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF231.TPK,F231.TPK,,,85
ARM   ,T237D0,T237,1,4,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD237.TPK,D237.TPK,,,61
ARM   ,T237F0,T237,2,8,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF237.TPK,F237.TPK,,,73
ARM   ,T241D0,T241,3,11,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD241.TPK,D241.TPK,,,86
ARM   ,T241F0,T241,3,10,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF241.TPK,F241.TPK,,,87
ARM   ,T242D0,T242,1,2,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD242.TPK,D242.TPK,,,63
ARM   ,T242F0,T242,2,6,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF242.TPK,F242.TPK,,,75
ARM   ,T249D0,T249,1,0,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD249.TPK,D249.TPK,,,65
ARM   ,T249F0,T249,2,4,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF249.TPK,F249.TPK,,,77
ARM   ,T252D0,T252,2,14,Track Circuit,Clear,SYR,SOUTH YARRA,B,TD252.TPK,D252.TPK,,,67
ARM   ,T252F0,T252,2,2,Track Circuit,Clear,SYR,SOUTH YARRA,B,TF252.TPK,F252.TPK,,,79
ARM   ,,,1,11,Not Used,,,,B,# Not Used,# Not Used,,,54
ARM   ,,,1,10,Not Used,,,,B,# Not Used,# Not Used,,,55
ARM   ,,,3,9,Not Used,,,,B,# Not Used,# Not Used,,,88
ARM   ,,,3,8,Not Used,,,,B,# Not Used,# Not Used,,,89
ARM   ,,,3,7,Not Used,,,,B,# Not Used,# Not Used,,,90
ARM   ,,,3,6,Not Used,,,,B,# Not Used,# Not Used,,,91
BBH   ,E001B0,E001,8,4,Local Control,Local Control Given,BBH,BRIGHTON BEACH,B,#,#,,New indication for option 3 & 4,221
BBH   ,E001B0,E001,8,3,Local Control,Local Control Cancelled,BBH,BRIGHTON BEACH,B,#,#,,New indication for option 3 & 4,222
BBH   ,E510BB,E510,8,15,Special Object,Faulty Pedestrian Crossing,BBH,BRIGHTON BEACH,B,#,#,,,210
BBH   ,E801BB,E801,7,6,Special Object - 500,,BBH,BRIGHTON BEACH,B,#,#,,,203
BBH   ,E802BB,E802,7,5,Special Object - 501,,BBH,BRIGHTON BEACH,B,#,#,,,204
BBH   ,E803BB,E803,7,4,Special Object,Crank Handle,BBH,BRIGHTON BEACH,B,#,#,,,205
BBH   ,E804BB,E804,7,3,Special Object - 502,,BBH,BRIGHTON BEACH,B,#,#,,,206
BBH   ,E805BB,E805,7,2,Special Object - 600,,BBH,BRIGHTON BEACH,B,#,#,,,207
BBH   ,E806BB,E806,7,1,Special Object - 601,,BBH,BRIGHTON BEACH,B,#,#,,,208
BBH   ,FBBHBB,FBBH,1,15,Terminal,Bypass RCDA+,BBH,BRIGHTON BEACH,B,# Terminal,# Terminal,,,98
BBH   ,FBBHBB,FBBH,1,14,Terminal,Sect. RDCA-,BBH,BRIGHTON BEACH,B,# Terminal,# Terminal,,,99
BBH   ,FBBHBB,FBBH,1,13,Terminal,Bypass RCDB+,BBH,BRIGHTON BEACH,B,# Terminal,# Terminal,,,100
BBH   ,FBBHBB,FBBH,1,12,Terminal,Sect. RDCB-,BBH,BRIGHTON BEACH,B,# Terminal,# Terminal,,,101
BBH   ,L478BB,L478,1,8,Level Crossing,Up,BBH,BRIGHTON BEACH,B,L478.FCP,478.FCP,,,105
BBH   ,L478BB,L478,1,7,Level Crossing,Down,BBH,BRIGHTON BEACH,B,L478.FGNP,478.FGNP,,,106
BBH   ,L478BB,L478,1,6,Level Crossing,Power On,BBH,BRIGHTON BEACH,B,L478.BPOK,478.BPOK,,,107
BBH   ,L478BB,L478,1,5,Level Crossing,Down Too Long,BBH,BRIGHTON BEACH,B,L478.DTOP,478.DTOP,,,108
BBH   ,L494B0,L494,1,3,Level Crossing,Up,BBH,BRIGHTON BEACH,B,L494.FCP,494.FCP,,,110
BBH   ,L494B0,L494,1,2,Level Crossing,Down,BBH,BRIGHTON BEACH,B,L494.FGNP,494.FGNP,,,111
BBH   ,L494B0,L494,1,1,Level Crossing,Power On,BBH,BRIGHTON BEACH,B,L494.BPOK,494.BPOK,,,112
BBH   ,L494B0,L494,1,0,Level Crossing,Down Too Long,BBH,BRIGHTON BEACH,B,L494.DTOP,494.DTOP,,,113
BBH   ,P803BB,P803,5,0,Points - Left Leg Normal (Connected Pair),Normal,BBH,BRIGHTON BEACH,B,P803.NWCR,803.NWCR,,,177
BBH   ,P803BB,P803,6,15,Points - Left Leg Normal (Connected Pair),Reverse,BBH,BRIGHTON BEACH,B,P803.RWCR,803.RWCR,,,178
BBH   ,P803BB,P803,6,14,Points - Left Leg Normal (Connected Pair),Locked,BBH,BRIGHTON BEACH,B,P803.LRP,803.LRP,,,179
BBH   ,P809BB,P809,6,13,Points - Left Leg Normal (Connected Pair),Normal,BBH,BRIGHTON BEACH,B,P809.NWCR,809.NWCR,,,180
BBH   ,P809BB,P809,6,12,Points - Left Leg Normal (Connected Pair),Reverse,BBH,BRIGHTON BEACH,B,P809.RWCR,809.RWCR,,,181
BBH   ,P809BB,P809,6,11,Points - Left Leg Normal (Connected Pair),Locked,BBH,BRIGHTON BEACH,B,P809.LRP,809.LRP,,,182
BBH   ,P811BB,P811,6,10,Points - Left Leg Normal,Normal,BBH,BRIGHTON BEACH,B,P811.NWCR,811.NWCR,,,183
BBH   ,P811BB,P811,6,9,Points - Left Leg Normal,Reverse,BBH,BRIGHTON BEACH,B,P811.RWCR,811.RWCR,,,184
